552784600502915072 [0, 'non-rumours', 'charliehebdo']
552807236339507200 [0, 'non-rumours', 'charliehebdo']
552807328287064065 [0, 'non-rumours', 'charliehebdo']
552807536894947329 [0, 'non-rumours', 'charliehebdo']
552807582113730560 [0, 'non-rumours', 'charliehebdo']
552807598966059008 [0, 'non-rumours', 'charliehebdo']
552807658869493760 [0, 'non-rumours', 'charliehebdo']
552807783385800705 [0, 'non-rumours', 'charliehebdo']
552807832257835008 [0, 'non-rumours', 'charliehebdo']
552807874192482305 [0, 'non-rumours', 'charliehebdo']
552807904597008385 [0, 'non-rumours', 'charliehebdo']
552808135006887937 [0, 'non-rumours', 'charliehebdo']
552808138127446016 [0, 'non-rumours', 'charliehebdo']
552808242276229120 [0, 'non-rumours', 'charliehebdo']
552808461940301825 [0, 'non-rumours', 'charliehebdo']
552808487924011008 [0, 'non-rumours', 'charliehebdo']
552808658510561280 [0, 'non-rumours', 'charliehebdo']
552808669646036992 [0, 'non-rumours', 'charliehebdo']
552808701065953280 [0, 'non-rumours', 'charliehebdo']
552808776492130304 [0, 'non-rumours', 'charliehebdo']
552808785329549313 [0, 'non-rumours', 'charliehebdo']
552809042687819776 [0, 'non-rumours', 'charliehebdo']
552809336360419329 [0, 'non-rumours', 'charliehebdo']
552809902956367872 [0, 'non-rumours', 'charliehebdo']
552810032765497345 [0, 'non-rumours', 'charliehebdo']
552810124776308736 [0, 'non-rumours', 'charliehebdo']
552810166744547328 [0, 'non-rumours', 'charliehebdo']
552810249263259649 [0, 'non-rumours', 'charliehebdo']
552810276635291649 [0, 'non-rumours', 'charliehebdo']
552810287695659009 [0, 'non-rumours', 'charliehebdo']
552810359409897472 [0, 'non-rumours', 'charliehebdo']
552810477940932609 [0, 'non-rumours', 'charliehebdo']
552810625873633280 [0, 'non-rumours', 'charliehebdo']
552810805243412481 [0, 'non-rumours', 'charliehebdo']
552810855503757313 [0, 'non-rumours', 'charliehebdo']
552810884029222912 [0, 'non-rumours', 'charliehebdo']
552811128326475776 [0, 'non-rumours', 'charliehebdo']
552811254667288576 [0, 'non-rumours', 'charliehebdo']
552811319079227393 [0, 'non-rumours', 'charliehebdo']
552811354323963904 [0, 'non-rumours', 'charliehebdo']
552811408094945280 [0, 'non-rumours', 'charliehebdo']
552811438994378754 [0, 'non-rumours', 'charliehebdo']
552811533303296001 [0, 'non-rumours', 'charliehebdo']
552811606640721921 [0, 'non-rumours', 'charliehebdo']
552811735183552512 [0, 'non-rumours', 'charliehebdo']
552811772038881280 [0, 'non-rumours', 'charliehebdo']
552812020295532544 [0, 'non-rumours', 'charliehebdo']
552812040926941185 [0, 'non-rumours', 'charliehebdo']
552812098057936896 [0, 'non-rumours', 'charliehebdo']
552812140479148032 [0, 'non-rumours', 'charliehebdo']
552812188315172864 [0, 'non-rumours', 'charliehebdo']
552812399997489152 [0, 'non-rumours', 'charliehebdo']
552812416485294080 [0, 'non-rumours', 'charliehebdo']
552812475134275584 [0, 'non-rumours', 'charliehebdo']
552812572731527168 [0, 'non-rumours', 'charliehebdo']
552812623658762240 [0, 'non-rumours', 'charliehebdo']
552812775907422209 [0, 'non-rumours', 'charliehebdo']
552812811651272705 [0, 'non-rumours', 'charliehebdo']
552812847651377153 [0, 'non-rumours', 'charliehebdo']
552812951208722432 [0, 'non-rumours', 'charliehebdo']
552812984343330816 [0, 'non-rumours', 'charliehebdo']
552813011803836416 [0, 'non-rumours', 'charliehebdo']
552813155572006912 [0, 'non-rumours', 'charliehebdo']
552813160110252032 [0, 'non-rumours', 'charliehebdo']
552813223360352256 [0, 'non-rumours', 'charliehebdo']
552813420136128513 [0, 'non-rumours', 'charliehebdo']
552813590919778304 [0, 'non-rumours', 'charliehebdo']
552813988644659200 [0, 'non-rumours', 'charliehebdo']
552814076167213056 [0, 'non-rumours', 'charliehebdo']
552814130827370498 [0, 'non-rumours', 'charliehebdo']
552814137857036289 [0, 'non-rumours', 'charliehebdo']
552814213081866240 [0, 'non-rumours', 'charliehebdo']
552814216550563840 [0, 'non-rumours', 'charliehebdo']
552814280471367680 [0, 'non-rumours', 'charliehebdo']
552814317096407040 [0, 'non-rumours', 'charliehebdo']
552814382338826240 [0, 'non-rumours', 'charliehebdo']
552814410763603968 [0, 'non-rumours', 'charliehebdo']
552814460193476609 [0, 'non-rumours', 'charliehebdo']
552814566594576386 [0, 'non-rumours', 'charliehebdo']
552814627399012352 [0, 'non-rumours', 'charliehebdo']
552814766369284097 [0, 'non-rumours', 'charliehebdo']
552814770542628865 [0, 'non-rumours', 'charliehebdo']
552814845016694786 [0, 'non-rumours', 'charliehebdo']
552814916567322624 [0, 'non-rumours', 'charliehebdo']
552814974511628289 [0, 'non-rumours', 'charliehebdo']
552814978823385088 [0, 'non-rumours', 'charliehebdo']
552814983797821440 [0, 'non-rumours', 'charliehebdo']
552815017402589184 [0, 'non-rumours', 'charliehebdo']
552815091331366912 [0, 'non-rumours', 'charliehebdo']
552815122897727488 [0, 'non-rumours', 'charliehebdo']
552815293349650433 [0, 'non-rumours', 'charliehebdo']
552815332931665921 [0, 'non-rumours', 'charliehebdo']
552815387759616000 [0, 'non-rumours', 'charliehebdo']
552815443959091200 [0, 'non-rumours', 'charliehebdo']
552815575672836096 [0, 'non-rumours', 'charliehebdo']
552815682241691648 [0, 'non-rumours', 'charliehebdo']
552815712327454720 [0, 'non-rumours', 'charliehebdo']
552815712432316417 [0, 'non-rumours', 'charliehebdo']
552815993165467649 [0, 'non-rumours', 'charliehebdo']
552816010752167936 [0, 'non-rumours', 'charliehebdo']
552816062593761280 [0, 'non-rumours', 'charliehebdo']
552816233796894720 [0, 'non-rumours', 'charliehebdo']
552816288612225024 [0, 'non-rumours', 'charliehebdo']
552816288935202817 [0, 'non-rumours', 'charliehebdo']
552816497740251136 [0, 'non-rumours', 'charliehebdo']
552816539175763969 [0, 'non-rumours', 'charliehebdo']
552816561514635264 [0, 'non-rumours', 'charliehebdo']
552816590463315968 [0, 'non-rumours', 'charliehebdo']
552816686752358401 [0, 'non-rumours', 'charliehebdo']
552816689386373121 [0, 'non-rumours', 'charliehebdo']
552816883012239360 [0, 'non-rumours', 'charliehebdo']
552816933851394048 [0, 'non-rumours', 'charliehebdo']
552817061203050496 [0, 'non-rumours', 'charliehebdo']
552817146166652928 [0, 'non-rumours', 'charliehebdo']
552817151112142848 [0, 'non-rumours', 'charliehebdo']
552817205982019584 [0, 'non-rumours', 'charliehebdo']
552817293969739778 [0, 'non-rumours', 'charliehebdo']
552817367995002880 [0, 'non-rumours', 'charliehebdo']
552817391181103104 [0, 'non-rumours', 'charliehebdo']
552817490263572480 [0, 'non-rumours', 'charliehebdo']
552817675408523264 [0, 'non-rumours', 'charliehebdo']
552817711617552385 [0, 'non-rumours', 'charliehebdo']
552817759684665345 [0, 'non-rumours', 'charliehebdo']
552817769604198400 [0, 'non-rumours', 'charliehebdo']
552817783910961152 [0, 'non-rumours', 'charliehebdo']
552817785949396992 [0, 'non-rumours', 'charliehebdo']
552817918220984320 [0, 'non-rumours', 'charliehebdo']
552818300041052160 [0, 'non-rumours', 'charliehebdo']
552818301530025984 [0, 'non-rumours', 'charliehebdo']
552818309050421250 [0, 'non-rumours', 'charliehebdo']
552818334643658752 [0, 'non-rumours', 'charliehebdo']
552818368487911425 [0, 'non-rumours', 'charliehebdo']
552818685526933505 [0, 'non-rumours', 'charliehebdo']
552818799095730176 [0, 'non-rumours', 'charliehebdo']
552818868604129280 [0, 'non-rumours', 'charliehebdo']
552818870281850881 [0, 'non-rumours', 'charliehebdo']
552818922798727168 [0, 'non-rumours', 'charliehebdo']
552818988468944897 [0, 'non-rumours', 'charliehebdo']
552819064301961216 [0, 'non-rumours', 'charliehebdo']
552819155859431424 [0, 'non-rumours', 'charliehebdo']
552819208212717568 [0, 'non-rumours', 'charliehebdo']
552819316702199811 [0, 'non-rumours', 'charliehebdo']
552819350504493057 [0, 'non-rumours', 'charliehebdo']
552819474320359425 [0, 'non-rumours', 'charliehebdo']
552819569103220736 [0, 'non-rumours', 'charliehebdo']
552819649599897601 [0, 'non-rumours', 'charliehebdo']
552819824007872512 [0, 'non-rumours', 'charliehebdo']
552819936343883776 [0, 'non-rumours', 'charliehebdo']
552819983915700224 [0, 'non-rumours', 'charliehebdo']
552819986834923520 [0, 'non-rumours', 'charliehebdo']
552820025409941506 [0, 'non-rumours', 'charliehebdo']
552820150345297921 [0, 'non-rumours', 'charliehebdo']
552820156980670464 [0, 'non-rumours', 'charliehebdo']
552820265994829824 [0, 'non-rumours', 'charliehebdo']
552820331204055041 [0, 'non-rumours', 'charliehebdo']
552820384039706624 [0, 'non-rumours', 'charliehebdo']
552820533507944448 [0, 'non-rumours', 'charliehebdo']
552820575752974336 [0, 'non-rumours', 'charliehebdo']
552820735513612288 [0, 'non-rumours', 'charliehebdo']
552820842544246784 [0, 'non-rumours', 'charliehebdo']
552820930419109888 [0, 'non-rumours', 'charliehebdo']
552821030117711872 [0, 'non-rumours', 'charliehebdo']
552821050145513472 [0, 'non-rumours', 'charliehebdo']
552821223676444672 [0, 'non-rumours', 'charliehebdo']
552821282447040513 [0, 'non-rumours', 'charliehebdo']
552821437678223361 [0, 'non-rumours', 'charliehebdo']
552821570423771136 [0, 'non-rumours', 'charliehebdo']
552821573946982401 [0, 'non-rumours', 'charliehebdo']
552821659103940608 [0, 'non-rumours', 'charliehebdo']
552821730100924417 [0, 'non-rumours', 'charliehebdo']
552821810224304128 [0, 'non-rumours', 'charliehebdo']
552821810572439553 [0, 'non-rumours', 'charliehebdo']
552821862850637825 [0, 'non-rumours', 'charliehebdo']
552821977061556225 [0, 'non-rumours', 'charliehebdo']
552821991850668032 [0, 'non-rumours', 'charliehebdo']
552822043490938881 [0, 'non-rumours', 'charliehebdo']
552822076676255744 [0, 'non-rumours', 'charliehebdo']
552822314157768704 [0, 'non-rumours', 'charliehebdo']
552822330141851649 [0, 'non-rumours', 'charliehebdo']
552822450824962048 [0, 'non-rumours', 'charliehebdo']
552822465047437314 [0, 'non-rumours', 'charliehebdo']
552822544341139458 [0, 'non-rumours', 'charliehebdo']
552822566726164481 [0, 'non-rumours', 'charliehebdo']
552822604206460928 [0, 'non-rumours', 'charliehebdo']
552822718115373057 [0, 'non-rumours', 'charliehebdo']
552822739388882944 [0, 'non-rumours', 'charliehebdo']
552822783311630336 [0, 'non-rumours', 'charliehebdo']
552822812281692160 [0, 'non-rumours', 'charliehebdo']
552822841541144577 [0, 'non-rumours', 'charliehebdo']
552822873773993984 [0, 'non-rumours', 'charliehebdo']
552822887988883457 [0, 'non-rumours', 'charliehebdo']
552822944603582464 [0, 'non-rumours', 'charliehebdo']
552823014866563072 [0, 'non-rumours', 'charliehebdo']
552823029680852992 [0, 'non-rumours', 'charliehebdo']
552823108537954306 [0, 'non-rumours', 'charliehebdo']
552823186966855680 [0, 'non-rumours', 'charliehebdo']
552823198484819969 [0, 'non-rumours', 'charliehebdo']
552823301899575296 [0, 'non-rumours', 'charliehebdo']
552823427862908928 [0, 'non-rumours', 'charliehebdo']
552823691500072960 [0, 'non-rumours', 'charliehebdo']
552823829333291010 [0, 'non-rumours', 'charliehebdo']
552823933381394432 [0, 'non-rumours', 'charliehebdo']
552823940440403968 [0, 'non-rumours', 'charliehebdo']
552823949311369216 [0, 'non-rumours', 'charliehebdo']
552823984358977536 [0, 'non-rumours', 'charliehebdo']
552824126659104771 [0, 'non-rumours', 'charliehebdo']
552824162969210880 [0, 'non-rumours', 'charliehebdo']
552824163841638400 [0, 'non-rumours', 'charliehebdo']
552824320389435392 [0, 'non-rumours', 'charliehebdo']
552824383816073216 [0, 'non-rumours', 'charliehebdo']
552824456557887488 [0, 'non-rumours', 'charliehebdo']
552824462958395392 [0, 'non-rumours', 'charliehebdo']
552824705703763969 [0, 'non-rumours', 'charliehebdo']
552824742097719296 [0, 'non-rumours', 'charliehebdo']
552824769754976257 [0, 'non-rumours', 'charliehebdo']
552824885484224513 [0, 'non-rumours', 'charliehebdo']
552825083941879808 [0, 'non-rumours', 'charliehebdo']
552825211654246401 [0, 'non-rumours', 'charliehebdo']
552825236715208707 [0, 'non-rumours', 'charliehebdo']
552825257707335680 [0, 'non-rumours', 'charliehebdo']
552825303341740032 [0, 'non-rumours', 'charliehebdo']
552825402872590336 [0, 'non-rumours', 'charliehebdo']
552825459546030080 [0, 'non-rumours', 'charliehebdo']
552825473160736768 [0, 'non-rumours', 'charliehebdo']
552825512708808704 [0, 'non-rumours', 'charliehebdo']
552825664307744769 [0, 'non-rumours', 'charliehebdo']
552825739075022848 [0, 'non-rumours', 'charliehebdo']
552825783337897984 [0, 'non-rumours', 'charliehebdo']
552825844755083265 [0, 'non-rumours', 'charliehebdo']
552826060455550976 [0, 'non-rumours', 'charliehebdo']
552826150141960192 [0, 'non-rumours', 'charliehebdo']
552826238407294977 [0, 'non-rumours', 'charliehebdo']
552826270866616320 [0, 'non-rumours', 'charliehebdo']
552826443965927425 [0, 'non-rumours', 'charliehebdo']
552826524467216385 [0, 'non-rumours', 'charliehebdo']
552826580741795840 [0, 'non-rumours', 'charliehebdo']
552826581916594178 [0, 'non-rumours', 'charliehebdo']
552826724774592512 [0, 'non-rumours', 'charliehebdo']
552826876398292992 [0, 'non-rumours', 'charliehebdo']
552826992509599744 [0, 'non-rumours', 'charliehebdo']
552827008800280576 [0, 'non-rumours', 'charliehebdo']
552827029692104706 [0, 'non-rumours', 'charliehebdo']
552827117663436801 [0, 'non-rumours', 'charliehebdo']
552827123963281408 [0, 'non-rumours', 'charliehebdo']
552827133500719104 [0, 'non-rumours', 'charliehebdo']
552827164677373952 [0, 'non-rumours', 'charliehebdo']
552827349667176448 [0, 'non-rumours', 'charliehebdo']
552827553493565441 [0, 'non-rumours', 'charliehebdo']
552827606715076608 [0, 'non-rumours', 'charliehebdo']
552827757164371968 [0, 'non-rumours', 'charliehebdo']
552827819521085441 [0, 'non-rumours', 'charliehebdo']
552827825603219456 [0, 'non-rumours', 'charliehebdo']
552827848734830592 [0, 'non-rumours', 'charliehebdo']
552827966950866945 [0, 'non-rumours', 'charliehebdo']
552827979093385216 [0, 'non-rumours', 'charliehebdo']
552827981069291520 [0, 'non-rumours', 'charliehebdo']
552828280806850561 [0, 'non-rumours', 'charliehebdo']
552828308744699904 [0, 'non-rumours', 'charliehebdo']
552828400843620353 [0, 'non-rumours', 'charliehebdo']
552828504060874752 [0, 'non-rumours', 'charliehebdo']
552828573896413185 [0, 'non-rumours', 'charliehebdo']
552828811344359425 [0, 'non-rumours', 'charliehebdo']
552828872379875328 [0, 'non-rumours', 'charliehebdo']
552829011983089664 [0, 'non-rumours', 'charliehebdo']
552829031075553281 [0, 'non-rumours', 'charliehebdo']
552829046485434368 [0, 'non-rumours', 'charliehebdo']
552829082388660224 [0, 'non-rumours', 'charliehebdo']
552829096816693248 [0, 'non-rumours', 'charliehebdo']
552829129356496896 [0, 'non-rumours', 'charliehebdo']
552829176018112513 [0, 'non-rumours', 'charliehebdo']
552829217134505985 [0, 'non-rumours', 'charliehebdo']
552829306439598080 [0, 'non-rumours', 'charliehebdo']
552829395690201088 [0, 'non-rumours', 'charliehebdo']
552829396265230336 [0, 'non-rumours', 'charliehebdo']
552829481962835969 [0, 'non-rumours', 'charliehebdo']
552829571750715392 [0, 'non-rumours', 'charliehebdo']
552829622128500736 [0, 'non-rumours', 'charliehebdo']
552829637215408128 [0, 'non-rumours', 'charliehebdo']
552829734502297600 [0, 'non-rumours', 'charliehebdo']
552829904396775425 [0, 'non-rumours', 'charliehebdo']
552829971631472640 [0, 'non-rumours', 'charliehebdo']
552830151650967552 [0, 'non-rumours', 'charliehebdo']
552830433688571904 [0, 'non-rumours', 'charliehebdo']
552830459273809920 [0, 'non-rumours', 'charliehebdo']
552830521340723200 [0, 'non-rumours', 'charliehebdo']
552830599002857472 [0, 'non-rumours', 'charliehebdo']
552830668607348736 [0, 'non-rumours', 'charliehebdo']
552830674357334016 [0, 'non-rumours', 'charliehebdo']
552830781656428544 [0, 'non-rumours', 'charliehebdo']
552830850279424001 [0, 'non-rumours', 'charliehebdo']
552830862585503746 [0, 'non-rumours', 'charliehebdo']
552830966411321344 [0, 'non-rumours', 'charliehebdo']
552831101312303104 [0, 'non-rumours', 'charliehebdo']
552831107985858560 [0, 'non-rumours', 'charliehebdo']
552831197420994560 [0, 'non-rumours', 'charliehebdo']
552831230735962113 [0, 'non-rumours', 'charliehebdo']
552831266945794048 [0, 'non-rumours', 'charliehebdo']
552831420197261314 [0, 'non-rumours', 'charliehebdo']
552831460236099586 [0, 'non-rumours', 'charliehebdo']
552831506041683970 [0, 'non-rumours', 'charliehebdo']
552831515940634624 [0, 'non-rumours', 'charliehebdo']
552831524002103297 [0, 'non-rumours', 'charliehebdo']
552831624283693056 [0, 'non-rumours', 'charliehebdo']
552831705351225344 [0, 'non-rumours', 'charliehebdo']
552831761957523456 [0, 'non-rumours', 'charliehebdo']
552831842232324097 [0, 'non-rumours', 'charliehebdo']
552831974784905216 [0, 'non-rumours', 'charliehebdo']
552831978522021890 [0, 'non-rumours', 'charliehebdo']
552832019940376576 [0, 'non-rumours', 'charliehebdo']
552832142397296641 [0, 'non-rumours', 'charliehebdo']
552832169496694786 [0, 'non-rumours', 'charliehebdo']
552832177138696192 [0, 'non-rumours', 'charliehebdo']
552832232197746688 [0, 'non-rumours', 'charliehebdo']
552832291601674240 [0, 'non-rumours', 'charliehebdo']
552832584045330432 [0, 'non-rumours', 'charliehebdo']
552832721945628672 [0, 'non-rumours', 'charliehebdo']
552832738542514176 [0, 'non-rumours', 'charliehebdo']
552832784046108672 [0, 'non-rumours', 'charliehebdo']
552832996676730881 [0, 'non-rumours', 'charliehebdo']
552833148128862208 [0, 'non-rumours', 'charliehebdo']
552833197084778496 [0, 'non-rumours', 'charliehebdo']
552833236389199874 [0, 'non-rumours', 'charliehebdo']
552833268362772481 [0, 'non-rumours', 'charliehebdo']
552833393734721537 [0, 'non-rumours', 'charliehebdo']
552833432540430337 [0, 'non-rumours', 'charliehebdo']
552833483325059072 [0, 'non-rumours', 'charliehebdo']
552833527444566016 [0, 'non-rumours', 'charliehebdo']
552833658017824768 [0, 'non-rumours', 'charliehebdo']
552833662593400833 [0, 'non-rumours', 'charliehebdo']
552833681111658496 [0, 'non-rumours', 'charliehebdo']
552833795142209536 [0, 'non-rumours', 'charliehebdo']
552833941930274816 [0, 'non-rumours', 'charliehebdo']
552833942777511937 [0, 'non-rumours', 'charliehebdo']
552834033600966657 [0, 'non-rumours', 'charliehebdo']
552834182905221121 [0, 'non-rumours', 'charliehebdo']
552834229722038273 [0, 'non-rumours', 'charliehebdo']
552834411553886209 [0, 'non-rumours', 'charliehebdo']
552834481183539201 [0, 'non-rumours', 'charliehebdo']
552834501383290880 [0, 'non-rumours', 'charliehebdo']
552834558706847745 [0, 'non-rumours', 'charliehebdo']
552834559297867778 [0, 'non-rumours', 'charliehebdo']
552834623944671232 [0, 'non-rumours', 'charliehebdo']
552834640692912128 [0, 'non-rumours', 'charliehebdo']
552834732325879809 [0, 'non-rumours', 'charliehebdo']
552834754056556544 [0, 'non-rumours', 'charliehebdo']
552834808121163776 [0, 'non-rumours', 'charliehebdo']
552834842837409793 [0, 'non-rumours', 'charliehebdo']
552834996265054208 [0, 'non-rumours', 'charliehebdo']
552835109372825601 [0, 'non-rumours', 'charliehebdo']
552835209285337089 [0, 'non-rumours', 'charliehebdo']
552835221859483649 [0, 'non-rumours', 'charliehebdo']
552835288725061635 [0, 'non-rumours', 'charliehebdo']
552835301547442176 [0, 'non-rumours', 'charliehebdo']
552835339325558785 [0, 'non-rumours', 'charliehebdo']
552835385043062784 [0, 'non-rumours', 'charliehebdo']
552835794646212608 [0, 'non-rumours', 'charliehebdo']
552835854750605313 [0, 'non-rumours', 'charliehebdo']
552835988540895232 [0, 'non-rumours', 'charliehebdo']
552836095332081664 [0, 'non-rumours', 'charliehebdo']
552836100814032896 [0, 'non-rumours', 'charliehebdo']
552836167029514240 [0, 'non-rumours', 'charliehebdo']
552836204283326465 [0, 'non-rumours', 'charliehebdo']
552836392678465537 [0, 'non-rumours', 'charliehebdo']
552836444835037184 [0, 'non-rumours', 'charliehebdo']
552836516775354368 [0, 'non-rumours', 'charliehebdo']
552836586191474689 [0, 'non-rumours', 'charliehebdo']
552836695754678273 [0, 'non-rumours', 'charliehebdo']
552836775191019520 [0, 'non-rumours', 'charliehebdo']
552836829234614272 [0, 'non-rumours', 'charliehebdo']
552836844560609281 [0, 'non-rumours', 'charliehebdo']
552836854085459968 [0, 'non-rumours', 'charliehebdo']
552836898562265088 [0, 'non-rumours', 'charliehebdo']
552836913091330051 [0, 'non-rumours', 'charliehebdo']
552836968410021888 [0, 'non-rumours', 'charliehebdo']
552836975741632514 [0, 'non-rumours', 'charliehebdo']
552836985493409792 [0, 'non-rumours', 'charliehebdo']
552837012689264640 [0, 'non-rumours', 'charliehebdo']
552837016350912512 [0, 'non-rumours', 'charliehebdo']
552837027616804864 [0, 'non-rumours', 'charliehebdo']
